department,gender,age,years_of_service,performance_score,trainings_completed,kpi_met,awards_won,is_promoted
HR,Female,22,21,3.5,4,1,0,0
IT,Female,51,19,3.9,4,1,0,1
Sales,Female,40,27,3.1,3,0,0,1
Sales,Male,50,18,3.1,4,0,0,1
IT,Male,56,27,3.7,3,1,0,1
Marketing,Female,41,9,3.9,1,0,0,1
Sales,Female,57,13,4.0,4,0,0,0
HR,Female,22,26,2.9,4,0,0,1
Finance,Female,44,6,4.0,3,1,0,0
Sales,Female,52,3,4.3,2,0,0,1
HR,Male,56,23,3.7,0,0,0,0
Operations,Female,43,12,4.1,3,0,0,1
HR,Female,28,9,3.8,2,0,0,1
Finance,Female,54,9,2.9,2,0,1,1
HR,Female,57,15,4.0,3,0,0,1
IT,Male,28,1,3.7,6,1,0,1
Finance,Male,48,18,3.0,0,0,1,1
Marketing,Male,23,15,3.2,3,1,0,1
Operations,Male,38,8,3.7,2,0,0,1
IT,Female,22,11,4.7,4,0,0,0
Marketing,Female,51,17,4.4,5,1,0,1
HR,Male,43,27,2.5,1,0,0,1
Finance,Male,49,28,3.5,2,1,1,1
Operations,Female,54,27,4.2,2,0,0,0
IT,Female,47,14,3.3,5,1,0,0
Marketing,Male,56,19,3.2,2,1,0,0
Marketing,Female,32,27,3.2,4,1,0,1
Operations,Male,28,23,3.9,1,1,0,0
HR,Male,49,24,3.7,1,0,0,1
Operations,Male,46,5,3.8,1,1,0,1
Marketing,Male,52,2,3.4,2,0,0,1
Sales,Male,24,15,4.4,4,0,0,0
IT,Female,54,19,3.3,7,1,1,0
Operations,Female,55,25,3.9,4,0,0,1
Marketing,Male,42,16,2.5,2,0,0,0
HR,Male,58,13,3.5,4,0,0,1
Marketing,Male,40,27,3.3,3,1,0,0
HR,Female,58,29,3.6,5,1,0,1
Operations,Female,42,26,2.7,5,0,0,0
HR,Male,35,7,4.3,2,1,0,1
Finance,Male,31,29,3.6,3,0,0,0
Finance,Female,28,17,4.6,3,1,1,1
Finance,Female,50,19,3.9,3,0,0,0
Sales,Male,29,25,3.6,2,0,0,1
Operations,Female,34,7,3.5,5,1,0,1
Marketing,Female,40,12,3.8,2,1,0,1
Marketing,Male,32,13,3.9,2,1,1,1
Sales,Male,23,29,3.8,3,1,0,1
HR,Male,27,13,4.6,8,1,0,1
Sales,Female,50,14,4.1,5,1,0,0
HR,Female,26,15,3.2,3,1,0,0
HR,Female,51,2,3.1,2,1,0,0
IT,Female,57,6,3.7,3,1,1,1
Marketing,Female,48,9,3.6,1,0,0,0
Finance,Female,39,15,3.6,3,1,1,0
HR,Female,57,20,2.7,4,0,0,0
IT,Male,37,16,3.9,2,0,0,0
Marketing,Male,26,26,3.3,3,1,0,1
Finance,Female,30,2,4.6,6,1,0,0
HR,Female,55,3,3.6,2,1,0,0
HR,Male,55,23,3.4,1,1,1,1
Sales,Female,57,20,3.7,4,1,0,1
Sales,Female,52,23,3.2,1,1,0,0
Marketing,Male,41,21,4.3,2,0,0,1
Finance,Female,38,8,4.7,4,1,0,0
HR,Male,41,8,3.9,1,1,0,1
Marketing,Female,49,21,3.8,3,0,0,1
Marketing,Male,42,7,3.2,3,1,0,1
Operations,Female,40,11,3.5,4,1,0,1
Sales,Male,24,22,3.8,3,1,0,1
Finance,Male,51,13,2.9,4,1,0,0
HR,Female,26,8,4.3,3,0,0,0
Marketing,Male,27,9,2.7,1,1,0,0
HR,Male,24,16,2.5,1,0,0,1
Operations,Male,45,5,4.4,1,0,0,1
Finance,Female,22,23,3.9,1,1,1,1
Marketing,Female,57,14,3.0,4,0,0,1
HR,Male,36,1,3.6,3,0,0,0
Sales,Female,59,27,3.6,2,1,0,1
Operations,Female,39,24,3.6,3,1,0,1
Finance,Female,44,19,3.0,3,0,0,0
Operations,Male,50,17,3.7,5,0,0,1
Sales,Female,43,22,4.1,4,0,0,1
Finance,Male,45,14,2.6,0,0,0,0
Operations,Male,34,13,3.3,3,1,0,1
IT,Male,54,8,2.9,1,1,0,0
Sales,Female,43,27,3.1,2,1,0,1
Sales,Male,56,3,3.7,5,1,0,0
Sales,Female,38,1,2.9,1,0,0,0
IT,Male,43,19,4.4,0,0,0,0
IT,Male,26,15,3.5,5,0,0,0
HR,Male,46,21,3.3,2,0,0,0
Marketing,Male,27,27,2.6,0,1,1,1
Operations,Male,38,8,3.6,4,1,0,0
HR,Male,52,9,3.5,6,1,0,1
Operations,Male,38,13,2.8,3,1,0,0
Marketing,Male,54,12,3.0,2,0,0,0
IT,Male,58,9,4.4,4,1,0,0
Marketing,Male,25,20,3.3,0,0,0,1
IT,Female,35,24,3.5,7,1,0,0
Marketing,Female,34,11,3.8,2,1,0,1
HR,Female,48,5,3.4,4,1,0,0
Finance,Male,45,19,4.2,7,1,0,1
HR,Female,48,21,3.1,4,1,0,1
Operations,Female,29,18,3.3,3,0,0,0
HR,Male,42,11,3.3,0,0,0,1
Sales,Male,32,27,3.1,0,1,0,0
Operations,Male,52,11,3.1,1,1,0,1
Marketing,Male,48,6,3.5,3,0,0,0
Operations,Male,48,1,4.2,3,1,0,1
Finance,Female,29,22,2.9,4,1,0,1
IT,Male,54,29,3.4,6,0,0,1
Marketing,Female,33,21,3.9,3,1,0,1
Operations,Male,56,29,4.5,1,0,0,0
Marketing,Male,55,9,4.0,5,1,0,0
Marketing,Female,37,29,3.4,1,0,0,0
Marketing,Female,57,7,3.2,4,0,0,1
IT,Male,23,6,4.1,4,1,0,0
HR,Female,33,27,3.9,3,0,0,1
Marketing,Female,48,28,3.5,6,1,0,1
Sales,Male,38,23,3.4,5,1,0,1
Finance,Male,41,10,4.5,5,1,0,1
IT,Female,42,5,4.4,3,1,0,1
Operations,Male,51,1,3.7,5,1,0,1
IT,Male,41,15,3.6,2,1,0,0
Operations,Male,29,25,2.9,5,1,0,1
IT,Male,39,5,3.5,1,1,0,1
Operations,Female,39,20,4.1,4,1,0,1
Marketing,Male,39,6,2.5,1,0,0,0
HR,Female,23,5,3.8,4,0,0,1
Operations,Male,33,17,3.8,4,1,0,1
Operations,Male,53,18,3.8,3,0,0,1
Sales,Male,29,4,3.2,5,1,1,0
Operations,Female,31,24,3.3,4,1,0,1
Sales,Female,32,21,3.2,4,1,0,0
Finance,Male,35,23,4.5,0,1,0,0
Marketing,Male,47,2,4.3,5,1,0,1
Sales,Female,51,8,3.7,6,0,0,0
HR,Female,25,5,3.5,4,0,0,1
Marketing,Male,32,4,3.5,4,1,0,0
Sales,Female,45,25,3.3,1,0,0,1
Marketing,Female,43,22,2.6,2,1,0,1
Marketing,Male,24,14,3.5,2,0,0,1
Marketing,Male,58,4,4.5,5,0,0,1
Finance,Male,23,8,3.6,1,1,0,0
HR,Female,33,3,3.2,3,0,0,0
IT,Female,42,14,3.6,3,1,0,0
IT,Male,26,29,3.4,2,0,0,1
Sales,Male,28,26,3.0,6,1,0,1
Marketing,Male,25,18,2.9,4,0,0,0
Sales,Female,57,23,3.5,4,0,0,0
Finance,Male,43,12,2.8,6,0,1,1
Finance,Male,50,15,3.5,2,1,0,1
Operations,Male,30,20,3.5,3,1,0,1
Finance,Male,47,20,3.9,1,1,0,0
Operations,Male,33,26,3.4,6,1,0,1
HR,Male,22,9,3.0,5,1,0,0
Sales,Male,29,2,3.6,3,0,0,0
HR,Female,54,1,4.0,7,0,0,0
Finance,Male,25,15,3.2,4,0,1,1
HR,Male,35,23,4.3,5,1,0,0
HR,Female,50,15,3.6,3,1,0,1
HR,Male,35,28,3.3,5,0,0,1
Finance,Female,30,8,3.2,4,0,0,1
Marketing,Male,30,3,3.6,3,0,0,1
HR,Male,47,2,3.5,2,1,0,1
Operations,Male,38,4,2.9,5,0,0,0
Finance,Male,25,18,4.3,5,0,0,1
HR,Female,24,12,3.3,2,1,0,1
Marketing,Male,50,18,4.3,1,1,1,1
Finance,Male,46,21,3.0,1,1,1,0
IT,Male,42,10,4.0,3,0,1,0
Marketing,Male,33,21,4.2,3,1,0,1
Operations,Male,22,8,4.1,4,1,0,1
HR,Male,22,25,3.7,1,0,0,1
IT,Male,28,18,4.0,4,1,0,0
IT,Female,31,17,3.7,2,1,0,1
Finance,Male,36,19,3.0,3,1,0,0
IT,Female,32,6,3.7,5,1,0,1
Operations,Female,44,14,3.0,1,0,0,0
Operations,Male,34,5,2.9,3,1,1,0
Sales,Female,48,8,3.6,1,1,0,1
Operations,Female,38,8,3.2,1,1,0,0
Marketing,Male,34,18,4.3,2,0,0,1
IT,Female,33,9,4.3,2,0,0,1
Operations,Male,50,14,4.9,0,1,0,0
Finance,Male,42,14,2.8,4,0,0,0
Sales,Female,41,20,2.9,3,0,0,1
IT,Male,41,14,3.9,4,1,0,1
Sales,Male,52,17,3.3,3,1,0,0
IT,Male,29,2,3.1,4,0,0,0
Finance,Female,45,14,3.3,3,0,0,0
Sales,Female,32,27,3.5,7,1,1,1
HR,Female,54,22,3.8,4,0,0,0
Marketing,Female,36,21,2.6,3,0,0,0
Marketing,Male,25,12,3.7,2,1,0,0
IT,Male,22,23,3.4,5,1,0,0
HR,Female,53,25,3.1,4,1,0,0
Sales,Female,32,16,4.2,2,1,0,0
HR,Male,51,22,3.3,2,1,0,0
HR,Male,58,6,3.3,5,1,0,1
Sales,Female,40,18,3.4,3,1,0,1
Finance,Female,57,7,4.3,3,1,0,0
HR,Female,55,2,3.6,1,0,0,0
HR,Male,28,13,3.5,3,0,0,1
Finance,Female,41,23,3.9,5,0,0,1
HR,Female,33,8,2.4,4,0,1,1
HR,Male,53,12,3.6,5,1,0,1
HR,Female,23,1,3.6,0,0,0,0
Marketing,Female,43,9,3.9,2,1,0,1
Operations,Female,45,8,3.6,2,0,0,1
Finance,Female,52,9,2.9,1,0,0,0
HR,Female,25,5,2.7,2,0,0,0
Marketing,Female,45,13,3.8,1,1,0,0
Finance,Male,38,14,3.3,2,1,0,1
IT,Female,40,4,3.3,3,1,0,1
IT,Female,59,17,3.1,6,0,0,0
HR,Female,55,9,3.5,4,1,0,1
Marketing,Male,54,20,3.5,0,1,1,1
Marketing,Female,27,15,2.9,1,0,0,0
Finance,Male,57,20,3.9,1,0,0,0
Finance,Female,34,4,3.1,2,1,0,0
Marketing,Female,30,2,4.2,1,0,0,0
Finance,Male,56,28,3.6,2,1,0,0
Marketing,Male,55,27,3.5,5,0,1,1
Operations,Male,37,13,2.7,3,1,0,1
Marketing,Male,39,4,3.8,0,0,0,0
IT,Female,39,18,3.5,3,1,0,0
Finance,Male,59,24,3.6,1,0,0,1
Marketing,Male,53,16,4.2,1,1,0,1
Marketing,Male,28,23,3.9,2,0,1,0
Finance,Male,44,27,4.1,3,1,0,1
Operations,Female,44,10,2.3,3,0,0,0
Operations,Male,39,2,3.4,4,0,0,0
Finance,Female,28,14,2.7,2,1,0,0
Sales,Male,45,2,3.7,7,0,0,1
Finance,Male,35,18,2.6,4,0,0,1
Finance,Male,26,1,4.0,2,0,0,0
Operations,Female,43,13,4.3,2,1,0,1
Operations,Female,43,6,3.4,1,1,0,0
Finance,Female,31,22,3.7,6,1,0,1
Finance,Female,47,17,4.3,4,0,0,0
Finance,Male,36,27,4.5,3,1,0,1
Operations,Female,59,17,4.3,4,1,0,1
Finance,Female,22,22,3.8,2,1,0,1
Finance,Male,35,11,4.3,4,1,0,0
HR,Male,57,6,3.0,2,1,0,0
Sales,Female,52,20,3.2,3,0,0,0
IT,Male,49,3,4.0,4,0,0,1
Sales,Female,55,14,3.5,8,1,0,0
HR,Male,56,25,3.8,4,1,0,1
IT,Male,44,6,4.0,0,1,0,1
Finance,Female,40,17,4.0,4,1,0,0
HR,Female,39,3,2.6,2,1,0,1
Finance,Male,36,17,3.8,0,0,0,0
Operations,Female,22,19,3.2,0,1,0,0
Marketing,Male,46,18,3.6,4,1,0,1
HR,Male,47,5,3.3,0,0,0,1
Operations,Female,56,15,3.3,2,0,0,0
HR,Male,36,3,3.2,3,0,1,0
HR,Male,25,23,3.9,2,0,0,1
Operations,Male,36,8,3.4,1,1,0,0
IT,Female,59,7,3.4,2,0,1,1
Sales,Male,22,18,3.3,3,1,0,1
Finance,Female,43,10,3.8,2,0,0,0
HR,Female,32,26,3.1,4,1,0,0
Finance,Male,59,23,4.3,0,1,1,1
Marketing,Female,58,10,3.2,6,1,1,0
Operations,Female,47,19,3.3,4,0,0,1
Finance,Male,48,23,3.5,4,1,1,1
Operations,Male,34,1,3.7,5,0,0,0
Finance,Male,28,2,3.4,3,1,0,0
Sales,Female,29,28,3.4,2,1,0,0
Sales,Female,44,26,4.0,5,0,0,0
Sales,Male,47,1,2.4,6,0,0,0
Sales,Male,48,9,3.2,4,0,0,1
Sales,Male,30,29,3.1,5,1,0,0
Sales,Female,59,29,3.3,3,0,0,0
Operations,Male,34,15,4.2,4,1,0,1
HR,Female,28,18,3.2,1,1,0,0
Finance,Male,32,18,3.5,5,1,0,0
Sales,Female,31,22,3.8,0,0,0,0
Operations,Male,54,7,3.1,5,1,0,1
Operations,Female,24,14,2.4,5,1,0,1
Operations,Male,50,29,2.2,6,0,0,1
HR,Female,58,18,4.2,6,1,0,0
Finance,Male,37,20,3.7,5,1,0,0
HR,Male,37,19,3.3,4,0,0,0
IT,Male,28,29,3.3,3,0,0,1
Operations,Female,36,5,3.1,0,1,0,0
IT,Male,59,9,3.6,1,1,1,0
Marketing,Male,27,18,3.9,4,0,0,1
Sales,Female,39,13,3.1,2,1,0,0
Sales,Female,40,5,3.6,3,0,0,0
HR,Male,23,24,3.1,4,1,0,0
Finance,Female,24,22,3.5,5,0,1,1
IT,Male,46,20,3.2,2,1,0,0
Finance,Female,57,15,4.0,5,1,0,0
HR,Female,49,26,3.5,2,0,0,1
Sales,Male,59,24,2.9,5,1,0,0
Finance,Female,49,19,3.5,5,0,0,0
Finance,Male,53,20,4.0,3,0,0,1
Sales,Female,57,11,2.9,4,1,1,0
IT,Female,57,9,3.4,3,1,1,0
Sales,Female,44,21,3.3,6,0,0,0
Finance,Male,23,22,3.6,1,0,0,1
IT,Male,31,28,3.4,0,1,0,1
IT,Male,27,16,3.7,5,0,0,0
Sales,Female,29,11,3.1,4,0,0,1
Finance,Female,36,2,3.4,3,0,0,1
HR,Female,50,25,3.4,4,0,0,1
Finance,Male,49,8,4.4,3,0,0,1
Operations,Female,43,23,3.7,1,0,0,0
Marketing,Female,55,25,3.9,6,1,0,1
HR,Female,41,21,4.4,2,1,0,0
IT,Male,54,5,3.6,3,0,0,1
HR,Male,36,11,3.4,4,1,0,1
IT,Female,28,11,3.0,1,1,0,1
IT,Female,45,9,2.9,4,1,0,1
HR,Male,47,11,2.4,1,1,0,0
IT,Female,31,5,3.9,8,1,0,1
IT,Male,36,9,3.7,2,0,0,0
Operations,Female,58,1,3.4,3,1,0,0
Finance,Male,45,26,3.4,4,1,0,1
Finance,Male,32,10,3.0,3,1,0,1
Marketing,Male,42,27,3.7,2,0,0,1
Marketing,Male,59,8,3.2,2,1,0,0
Operations,Male,36,19,3.4,5,1,0,1
Marketing,Female,36,16,2.9,3,0,1,1
HR,Male,58,13,3.0,2,0,0,0
Sales,Male,35,24,4.0,6,1,0,1
Sales,Male,42,5,4.1,2,0,0,0
Sales,Male,41,18,2.9,3,1,0,1
Operations,Male,54,9,3.8,4,0,1,1
Operations,Male,24,4,3.1,2,1,0,0
IT,Female,44,14,3.3,3,1,0,1
Sales,Male,44,7,4.1,3,1,0,1
HR,Female,48,12,3.4,4,0,0,1
Marketing,Male,56,24,3.4,4,0,1,1
HR,Male,46,7,2.7,8,0,0,1
Marketing,Male,53,11,3.3,6,1,0,1
Sales,Female,43,22,3.2,6,1,0,0
Sales,Female,29,15,3.7,3,1,1,1
Sales,Female,59,28,3.2,3,1,0,0
Operations,Male,39,7,4.1,7,1,1,0
Marketing,Female,49,20,3.7,5,1,0,0
Operations,Male,49,26,3.6,1,0,0,1
Operations,Male,32,17,3.9,3,1,0,0
Finance,Female,33,5,3.6,1,1,1,1
HR,Male,23,8,3.9,6,0,0,0
HR,Female,58,10,3.4,3,1,0,0
IT,Male,25,6,3.5,1,0,0,1
Operations,Female,55,21,3.1,5,1,0,1
Marketing,Female,44,2,3.1,5,0,0,1
Finance,Female,34,26,4.2,0,1,0,1
Finance,Male,28,28,3.7,3,0,0,0
HR,Male,53,5,2.7,5,1,1,0
Operations,Female,44,10,4.0,0,1,0,0
IT,Male,29,28,3.6,4,0,0,1
Operations,Female,58,3,3.1,7,1,0,0
Sales,Female,55,13,4.4,3,1,0,1
Operations,Male,50,16,4.1,1,0,0,0
Sales,Female,58,15,3.9,1,1,0,1
Sales,Female,44,2,3.6,4,0,0,1
IT,Male,59,3,3.7,1,1,0,1
Marketing,Male,50,20,2.4,5,0,0,0
HR,Male,26,18,3.9,2,1,0,1
Operations,Male,32,20,3.6,4,0,0,0
Sales,Female,35,20,3.6,2,1,0,1
Operations,Male,23,15,3.6,2,0,0,0
Marketing,Female,56,22,3.3,2,0,0,1
HR,Male,56,28,3.0,1,0,0,1
Marketing,Female,49,5,3.5,1,0,0,1
HR,Female,29,23,2.8,1,0,0,1
Finance,Male,53,11,3.6,2,0,0,0
HR,Male,25,23,3.0,5,1,0,0
IT,Female,28,3,4.0,2,0,0,0
Marketing,Female,48,9,2.8,2,1,0,0
Sales,Male,58,7,3.5,4,1,0,1
Finance,Male,38,23,3.5,4,1,0,0
IT,Male,31,2,4.1,7,1,0,0
Operations,Male,25,15,3.6,3,0,0,1
Marketing,Female,44,12,3.1,4,0,1,0
Sales,Female,35,16,3.1,4,1,1,0
HR,Male,26,26,4.2,6,0,1,1
Sales,Female,23,16,3.5,0,0,0,1
Operations,Male,45,16,3.4,5,0,0,0
Finance,Female,39,19,3.2,7,1,0,0
Finance,Male,48,3,2.9,3,0,0,0
Marketing,Male,45,28,4.5,4,0,0,1
Finance,Male,50,29,3.5,6,0,0,1
Marketing,Male,32,22,2.9,0,1,0,1
Marketing,Female,39,20,3.9,2,1,0,0
Marketing,Female,25,4,3.8,4,0,1,1
HR,Male,54,1,2.9,7,0,0,1
IT,Female,35,22,3.2,3,1,0,1
Marketing,Male,53,8,3.7,4,1,0,0
Marketing,Female,25,24,3.9,4,1,0,0
IT,Male,41,15,3.1,3,1,0,0
Sales,Male,42,24,2.6,0,1,0,1
Marketing,Male,24,21,3.6,6,0,1,1
HR,Female,46,26,3.9,2,1,0,1
Finance,Female,25,22,3.5,5,1,0,0
Finance,Male,32,5,3.3,4,1,0,0
Operations,Male,37,20,4.3,0,0,0,0
Operations,Male,57,12,2.5,3,1,0,1
Finance,Female,27,20,3.9,4,0,1,1
Finance,Female,52,20,3.9,1,1,0,0
HR,Male,34,4,3.1,8,1,0,1
IT,Male,44,22,2.3,5,1,0,0
Operations,Female,25,15,3.9,7,0,0,0
IT,Male,58,6,3.7,4,1,0,1
HR,Male,58,5,4.2,2,1,0,0
Finance,Male,54,28,3.2,0,1,0,1
Marketing,Male,50,11,3.6,1,1,0,1
IT,Male,58,14,2.7,2,1,0,0
Finance,Female,40,11,3.9,1,0,0,0
Finance,Male,41,9,2.7,3,0,0,0
Sales,Female,53,24,3.5,2,1,0,0
IT,Male,37,10,3.0,4,0,1,0
Marketing,Female,26,6,3.7,0,1,0,1
IT,Female,33,11,3.4,3,0,0,0
Finance,Female,42,9,3.4,4,1,0,1
Marketing,Male,35,5,3.5,1,1,0,0
HR,Male,58,10,3.5,6,0,0,0
Sales,Male,43,20,4.2,2,1,0,1
Finance,Female,51,14,3.7,4,1,0,1
Operations,Male,44,6,3.2,1,1,0,1
Operations,Female,26,4,3.2,2,1,1,1
Sales,Female,50,24,4.0,2,0,0,0
HR,Male,51,23,3.0,1,0,0,0
Finance,Female,39,21,3.5,3,1,0,1
IT,Male,22,10,2.7,3,0,0,0
Sales,Male,38,22,3.4,2,1,0,1
HR,Male,24,11,2.9,3,1,0,1
IT,Female,28,16,3.2,2,1,0,1
Operations,Male,48,7,3.6,4,0,0,1
Operations,Female,49,18,3.8,4,0,0,1
IT,Male,52,25,3.1,1,1,0,1
Sales,Male,36,7,4.1,4,1,0,1
Operations,Female,29,24,2.9,4,0,1,1
Finance,Male,27,21,3.9,2,1,0,1
Marketing,Male,49,15,3.3,2,1,0,1
IT,Female,25,19,4.0,3,1,0,1
IT,Male,51,18,3.3,7,0,0,0
Operations,Male,38,15,3.2,3,0,0,1
Sales,Male,55,18,3.8,6,1,0,0
Finance,Male,27,3,3.7,5,1,0,1
Sales,Female,57,1,3.2,8,0,0,1
HR,Female,56,1,3.8,1,1,0,0
HR,Male,37,7,3.4,1,1,0,1
Marketing,Male,23,10,3.6,2,1,0,0
Operations,Male,29,12,3.7,8,0,0,1
Operations,Female,36,27,2.8,3,1,0,0
Operations,Male,48,8,3.5,4,1,0,1
Marketing,Male,37,22,2.8,4,0,0,1
HR,Female,22,23,3.0,1,1,0,1
Sales,Female,31,17,3.4,2,0,0,0
Marketing,Male,28,14,4.0,3,0,0,0
Marketing,Male,31,17,3.4,8,1,0,0
Sales,Male,33,25,3.3,2,1,0,0
Operations,Male,38,21,3.3,4,1,0,0
Finance,Female,33,23,3.7,2,1,0,1
Sales,Female,36,6,2.9,3,1,0,0
HR,Female,53,20,2.8,4,1,1,1
IT,Male,53,17,4.2,3,1,0,1
IT,Male,47,20,3.7,4,1,0,0
Marketing,Male,35,26,3.1,5,0,0,1
IT,Male,47,26,3.2,0,1,0,0
Finance,Female,26,8,3.2,2,0,0,0
Operations,Male,59,13,2.8,1,1,0,1
HR,Male,25,16,3.3,2,1,1,1
Finance,Male,49,12,3.5,3,0,0,1
HR,Male,22,27,4.2,0,0,0,1
HR,Male,34,29,3.6,7,1,0,1
Operations,Female,24,17,3.9,6,1,0,1
Marketing,Male,46,18,3.4,8,1,0,1
IT,Female,37,8,3.3,8,1,0,1
Operations,Male,42,18,3.5,2,0,0,0
Finance,Male,34,11,3.9,2,0,0,1
Marketing,Female,57,13,3.2,3,1,0,1
Finance,Male,29,12,3.6,4,0,0,0
Marketing,Female,40,15,3.6,2,1,0,0
Finance,Male,37,26,3.5,4,1,0,1
Operations,Male,33,25,3.9,0,1,0,1
Marketing,Female,41,3,3.5,4,1,0,1
Marketing,Female,39,3,3.4,1,1,0,0
HR,Female,33,6,3.5,1,0,0,1
HR,Female,46,3,2.4,2,0,0,0
Sales,Male,32,9,3.4,3,1,0,1
Finance,Female,43,11,3.0,0,1,0,0
HR,Female,55,8,3.4,2,1,0,0
Sales,Male,34,4,3.5,4,1,0,0
HR,Male,59,22,3.7,5,1,0,1
Finance,Female,33,24,4.5,5,1,0,1
Marketing,Male,57,20,4.2,2,1,0,1
IT,Male,49,15,3.5,3,1,0,1
Finance,Female,48,29,3.8,2,0,0,0
Operations,Male,34,5,3.3,4,1,0,1
HR,Male,48,7,3.6,3,0,0,0
HR,Female,52,8,3.6,6,1,0,0
Marketing,Male,23,7,3.0,3,1,0,1
Operations,Female,39,8,3.3,1,1,0,1
Marketing,Male,47,4,2.7,4,1,0,0
Operations,Male,52,1,3.4,1,1,0,0
IT,Male,59,22,3.5,4,1,0,1
HR,Female,43,5,3.5,3,1,1,0
HR,Male,57,11,3.0,0,0,0,0
IT,Male,40,4,3.5,2,0,0,0
Sales,Male,35,2,3.6,2,0,0,0
Marketing,Male,35,17,3.7,4,0,0,1
IT,Male,50,25,3.6,4,1,0,1
Marketing,Male,38,12,3.3,3,0,0,1
Finance,Male,58,2,3.4,2,0,0,0
HR,Male,30,9,3.6,1,0,0,1
Marketing,Female,22,6,3.3,2,1,0,1
Operations,Female,25,29,3.1,2,1,0,1
Marketing,Male,28,6,3.3,5,0,0,0
Finance,Male,32,18,3.7,2,0,0,1
HR,Female,35,22,3.9,6,0,0,1
IT,Female,40,3,4.0,5,1,0,0
Finance,Male,24,15,3.1,2,1,0,1
HR,Female,29,7,4.5,0,0,0,1
Marketing,Male,50,13,3.1,6,1,0,1
Sales,Male,58,10,3.4,1,1,0,1
Sales,Male,30,4,4.1,0,1,0,0
Operations,Female,40,16,2.7,0,1,0,1
HR,Male,33,9,3.6,4,1,0,1
Sales,Female,48,21,3.4,4,1,0,0
IT,Male,58,28,2.8,4,1,0,1
HR,Male,46,10,2.8,4,1,0,0
IT,Male,59,19,4.1,5,0,0,1
IT,Female,38,17,3.8,2,1,0,1
Sales,Male,54,1,4.0,0,1,0,1
HR,Male,35,13,3.0,4,1,0,0
Marketing,Male,49,4,3.6,2,0,0,1
Finance,Female,39,15,4.6,1,0,0,1
Sales,Male,54,26,3.4,3,1,0,1
Sales,Male,36,10,3.5,2,1,0,1
Marketing,Male,32,20,3.5,4,0,0,0
HR,Female,57,9,3.4,4,0,0,0
HR,Female,36,8,3.1,3,0,0,1
IT,Female,51,20,3.5,3,1,0,1
Marketing,Male,36,6,4.3,6,1,0,0
Marketing,Male,44,23,3.5,1,0,0,1
HR,Female,36,10,4.1,4,0,0,0
IT,Male,50,24,4.9,2,1,0,1
Sales,Male,32,20,3.1,3,0,0,1
Operations,Male,39,17,3.8,4,1,0,1
Finance,Female,52,5,2.9,2,1,0,0
Sales,Male,30,14,3.4,2,1,0,0
HR,Female,43,17,4.7,3,1,0,0
Finance,Female,32,11,3.8,1,0,0,0
Operations,Male,38,27,3.7,3,0,0,1
Operations,Male,54,4,2.9,3,1,0,1
IT,Female,32,23,3.2,7,0,0,0
Finance,Female,29,23,3.1,3,1,0,1
IT,Female,25,17,3.0,3,1,0,0
Sales,Female,57,25,3.9,6,0,0,0
Marketing,Male,40,2,3.8,4,0,0,1
Marketing,Female,45,21,3.4,4,0,0,0
Marketing,Male,39,22,3.2,4,0,0,0
Finance,Female,54,1,3.9,2,1,0,1
Marketing,Female,57,28,4.3,4,1,0,0
Sales,Female,31,18,4.0,3,1,0,1
IT,Female,35,7,3.6,0,1,0,0
Finance,Female,28,22,4.0,2,0,0,1
IT,Male,33,6,4.0,4,1,0,1
Finance,Female,43,6,3.6,2,0,0,0
IT,Male,48,14,3.6,3,0,0,1
Operations,Male,58,23,3.2,5,1,0,1
IT,Male,32,26,3.9,2,1,0,0
Marketing,Male,57,12,3.4,0,0,0,1
Operations,Female,34,14,3.0,7,0,0,0
IT,Female,53,14,3.0,2,1,0,0
Finance,Male,29,12,3.5,4,0,0,1
Finance,Male,28,9,3.0,2,1,0,0
Finance,Male,38,9,4.9,1,0,0,0
HR,Female,43,2,3.7,3,1,0,0
Sales,Male,55,18,3.3,1,1,0,1
Finance,Female,41,5,3.6,1,0,0,1
Operations,Female,29,26,3.9,5,0,0,1
Finance,Male,43,23,3.6,7,0,0,1
HR,Female,48,12,3.0,2,1,1,0
Marketing,Female,55,14,3.4,0,0,0,0
Operations,Female,42,28,3.4,1,0,0,0
HR,Male,36,13,3.3,2,1,0,1
Marketing,Male,26,3,3.1,2,1,0,0
Operations,Female,59,15,3.9,4,1,0,0
IT,Male,38,15,3.7,3,1,0,0
Sales,Female,29,3,3.7,2,0,0,0
Sales,Male,40,20,2.6,2,0,0,1
HR,Male,26,19,3.3,2,0,0,0
Marketing,Male,44,15,4.1,3,1,1,1
Sales,Female,40,19,3.7,2,1,0,0
Marketing,Male,35,8,2.9,2,0,0,0
Marketing,Female,31,23,4.3,2,0,0,1
HR,Male,52,13,2.3,1,0,0,0
HR,Female,34,23,3.6,2,1,0,0
HR,Female,43,10,4.4,0,1,0,0
Sales,Male,58,2,2.7,2,0,0,0
HR,Male,31,11,3.3,1,0,0,0
Sales,Male,52,25,2.8,5,1,0,1
HR,Male,56,29,4.2,4,0,0,1
Finance,Female,34,22,3.1,3,1,0,1
Marketing,Male,51,19,4.0,5,1,0,0
HR,Male,55,9,4.2,0,0,0,1
Operations,Female,57,9,2.9,3,1,0,0
Marketing,Male,56,6,2.8,2,1,0,1
Marketing,Female,25,29,3.7,4,0,0,0
